Date,ALPA4.SA,ABEV3.SA,BPAN4.SA,BBDC3.SA,BBDC4.SA,BRAP4.SA,BBAS3.SA,BRKM5.SA,BRFS3.SA,CCRO3.SA,CMIG4.SA,CPLE6.SA,CSAN3.SA,CPFE3.SA,CYRE3.SA,DXCO3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENBR3.SA,ENEV3.SA,EGIE3.SA,EZTC3.SA,GGBR4.SA,GOAU4.SA,GOLL4.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,RENT3.SA,LREN3.SA,MRFG3.SA,BEEF3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,RADL3.SA,SBSP3.SA,SMTO3.SA,CSNA3.SA,SLCE3.SA,TAEE11.SA,VIVT3.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VIIA3.SA,WEGE3.SA
2008-01-02,2.6857798099517822,2.891678810119629,6.6950531005859375,5.314174652099609,12.134356498718262,17.09899139404297,12.188094139099121,7.062276840209961,18.93805694580078,3.87802791595459,2.5888876914978027,1.0409009456634521,3.1835577487945557,6.8541083335876465,15.158981323242188,4.282777786254883,10.004562377929688,8.411349296569824,17.01700210571289,3.780743360519409,178.2948455810547,7.053195953369141,3.5271012783050537,15.262283325195312,19.502185821533203,40.42978286743164,2.405940055847168,8.496634483337402,4.2288713455200195,3.4910924434661865,4.164557933807373,9.769296646118164,8.218984603881836,6.208860397338867,5.203916072845459,32.1353645324707,20.98714828491211,15.457664489746094,0.7224457859992981,8.848487854003906,5.052164554595947,11.581087112426758,4.086143493652344,2.456057071685791,13.951626777648926,6.223965167999268,2.9967408180236816,5.821818828582764,20.264394760131836,27.546085357666016,7.162282466888428,2.696683168411255
2008-01-03,2.7280750274658203,2.9022583961486816,6.235963344573975,5.248870849609375,11.886948585510254,16.560161590576172,12.00404167175293,7.007180690765381,19.02738380432129,3.7827675342559814,2.5732476711273193,1.064771056175232,3.236870765686035,6.901450157165527,15.018324851989746,4.247088432312012,9.918684959411621,8.320120811462402,17.35564422607422,3.7294323444366455,177.1205291748047,6.967184543609619,3.5432252883911133,15.262283325195312,19.95770835876465,38.33200454711914,2.374001979827881,8.336542129516602,4.157796859741211,3.634186029434204,4.110531806945801,9.775707244873047,8.512517929077148,6.192734241485596,5.584692001342773,32.1353645324707,20.68333625793457,15.208916664123535,0.7335609793663025,9.090970039367676,5.039689064025879,11.82612419128418,4.0610761642456055,2.65484881401062,13.88878345489502,6.223965167999268,2.9992408752441406,5.821818828582764,20.115209579467773,27.688806533813477,7.162282466888428,2.692368268966675
2008-01-04,2.6857798099517822,2.8653476238250732,5.662102222442627,5.359371662139893,11.747268676757812,15.87763500213623,11.864986419677734,6.72168493270874,18.357406616210938,3.6184792518615723,2.518493175506592,1.0174216032028198,3.229254722595215,6.668862819671631,14.705041885375977,3.818810224533081,9.815633773803711,8.265380859375,17.27098274230957,3.6592190265655518,173.578125,6.967184543609619,3.5271012783050537,15.262283325195312,19.4509334564209,36.39633560180664,2.363356113433838,8.395115852355957,4.122261047363281,3.4695301055908203,4.051814079284668,9.775707244873047,8.41982364654541,6.015336990356445,5.457766532897949,32.1353645324707,19.456016540527344,14.462687492370605,0.725225031375885,8.920805931091309,5.089588165283203,11.4458646774292,4.15884256362915,2.6763620376586914,13.48028564453125,6.037962436676025,2.924260139465332,5.821818828582764,19.518463134765625,26.689725875854492,7.162282466888428,2.6858971118927
2008-01-07,2.6857798099517822,2.797640562057495,5.738616943359375,5.412410259246826,11.964802742004395,15.730351448059082,12.147197723388672,6.811840534210205,18.93805694580078,3.6999337673187256,2.533360004425049,1.0174216032028198,3.4272754192352295,6.660630226135254,14.705041885375977,3.9258780479431152,9.940155029296875,8.411349296569824,17.18631362915039,3.780743360519409,175.34933471679688,7.431663513183594,3.466637134552002,15.262283325195312,18.932783126831055,37.378475189208984,2.363356113433838,8.395115852355957,4.10804557800293,3.3323168754577637,3.8145744800567627,9.711603164672852,8.41982364654541,5.805687427520752,5.229301929473877,32.1353645324707,18.788034439086914,14.038042068481445,0.7074412703514099,8.827217102050781,5.3640265464782715,11.071582794189453,4.136281490325928,2.6677563190460205,13.502279281616211,6.0308074951171875,2.7942914962768555,5.821818828582764,18.57362174987793,26.21398162841797,7.162282466888428,2.696683168411255
2008-01-08,2.7069265842437744,2.8420727252960205,5.585588455200195,5.535069465637207,12.148000717163086,15.730351448059082,12.396678924560547,6.826867580413818,18.982723236083984,3.8297078609466553,2.533360004425049,1.0330743789672852,3.594830274581909,6.672977924346924,15.568166732788086,3.961568832397461,9.94874095916748,8.429596900939941,17.228647232055664,3.6997275352478027,175.34579467773438,7.294039249420166,3.466637134552002,15.262283325195312,18.790422439575195,36.434478759765625,2.384648561477661,8.473201751708984,4.008542060852051,3.234307289123535,3.6642472743988037,9.74365520477295,8.473896980285645,5.852456569671631,5.292764663696289,32.1353645324707,19.91877555847168,14.809149742126465,0.6807662844657898,8.848487854003906,5.785664081573486,11.280760765075684,4.136281490325928,2.6677563190460205,13.511702537536621,6.0308074951171875,2.7558014392852783,5.821818828582764,18.57362174987793,26.737306594848633,8.97543716430664,2.621175765991211
2008-01-09,2.7069265842437744,2.79740571975708,5.600890636444092,5.392523765563965,12.042654991149902,15.805793762207031,12.617542266845703,7.232572078704834,19.429372787475586,3.8725051879882812,2.6983847618103027,1.0252482891082764,3.8080837726593018,6.874691963195801,15.47226333618164,4.015103816986084,10.21925163269043,8.750723838806152,17.651954650878906,3.779392719268799,175.34756469726562,7.225225448608398,3.4061717987060547,15.262283325195312,18.648075103759766,35.66211700439453,2.363356113433838,8.473201751708984,4.335481643676758,3.1362974643707275,3.6407580375671387,9.679553985595703,8.265332221984863,5.7895612716674805,5.076991558074951,32.1353645324707,20.256790161132812,15.088099479675293,0.7168892621994019,9.146273612976074,6.404397964477539,11.13134765625,4.291705131530762,2.659151315689087,13.766228675842285,6.438584327697754,2.649829626083374,5.821818828582764,19.824295043945312,26.45185661315918,8.984650611877441,2.6265692710876465
2008-01-10,2.6855673789978027,2.9104864597320557,6.442554473876953,5.381474018096924,12.205245018005371,15.848896026611328,12.981545448303223,7.32273006439209,20.269079208374023,3.8379909992218018,2.6827449798583984,1.0545966625213623,3.7700018882751465,7.162851810455322,15.536194801330566,4.015103816986084,10.004562377929688,8.444191932678223,17.778945922851562,3.807749032974243,178.18325805664062,7.44886589050293,3.4061717987060547,15.262283325195312,19.50502586364746,35.75746536254883,2.403809070587158,8.631342887878418,4.939605236053467,3.1284570693969727,3.8674263954162598,9.782118797302246,8.110841751098633,5.6121649742126465,5.013529300689697,32.1353645324707,19.838298797607422,14.942407608032227,0.6974383592605591,8.965476989746094,6.3495097160339355,11.542238235473633,4.386964797973633,2.607517719268799,14.482662200927734,6.438584327697754,2.5933430194854736,5.821818828582764,19.39414405822754,27.02751922607422,8.984650611877441,2.580186128616333
2008-01-11,2.6646318435668945,2.8796892166137695,6.955204010009766,5.3041157722473145,12.00831127166748,15.554336547851562,12.31897258758545,7.107353687286377,20.0546875,3.8228049278259277,2.602179765701294,1.0291613340377808,3.6557600498199463,6.884983062744141,15.29963493347168,3.8366541862487793,9.802751541137695,8.320120811462402,17.18631362915039,3.7267322540283203,178.18148803710938,7.328446388244629,3.4222965240478516,15.262283325195312,19.4594783782959,35.13766860961914,2.331418752670288,8.40096664428711,4.655311584472656,3.1676623821258545,3.7582015991210938,9.711603164672852,7.99497127532959,5.563783645629883,4.6962175369262695,32.1353645324707,19.516372680664062,14.49111270904541,0.6891021132469177,9.063319206237793,6.461780548095703,11.243410110473633,4.574977397918701,2.6247291564941406,14.297270774841309,6.259734630584717,2.593843698501587,5.821818828582764,18.914262771606445,26.689725875854492,8.754274368286133,2.599602460861206
2008-01-14,2.651309013366699,2.8258514404296875,6.809825420379639,5.38036584854126,12.12967586517334,15.626180648803711,12.269893646240234,7.062276840209961,19.87156105041504,3.8241851329803467,2.588104248046875,1.0350311994552612,3.7395384311676025,6.802652359008789,14.852092742919922,3.8366541862487793,9.845690727233887,8.301874160766602,16.932331085205078,3.719980478286743,178.18148803710938,7.7241106033325195,3.381985902786255,15.262283325195312,19.416770935058594,34.61322784423828,2.3484528064727783,8.434159278869629,4.534486293792725,3.244107246398926,3.670118808746338,9.615450859069824,7.724609851837158,5.239633083343506,4.5667548179626465,32.1353645324707,19.41577911376953,14.46268367767334,0.7046628594398499,9.029288291931152,6.89589262008667,11.4891939163208,5.11394739151001,2.573094129562378,13.854215621948242,6.367045879364014,2.4993667602539062,5.821818828582764,19.99088478088379,26.642152786254883,8.754274368286133,2.567241907119751
2008-01-15,2.643483877182007,2.783534049987793,6.733310222625732,5.282018661499023,11.609865188598633,15.195113182067871,11.987688064575195,6.85692024230957,18.754926681518555,3.7275445461273193,2.4903337955474854,1.0037257671356201,3.6176793575286865,6.751195430755615,13.937823295593262,3.7831194400787354,9.639588356018066,8.155908584594727,16.58521842956543,3.5768532752990723,166.49330139160156,7.51767635345459,3.103848934173584,15.262283325195312,19.003950119018555,33.65969467163086,2.256898880004883,8.082733154296875,4.235978126525879,3.1362974643707275,3.4998245239257812,9.609040260314941,7.585565090179443,4.886453151702881,4.50583028793335,32.1353645324707,18.47014045715332,13.825957298278809,0.6891021132469177,8.827217102050781,6.8235392570495605,11.2060546875,5.038743019104004,2.539532423019409,13.134638786315918,6.13096284866333,2.574348211288452,5.821818828582764,19.645273208618164,25.643068313598633,8.754274368286133,2.502520799636841
